City,Population,County,State,FullState,MSA,Population Score,Closest Airport,Proximity to Airport,Airport Score
Hampton,135410,Hampton city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",1.3,Norfolk International Airport,22 min,3.2
Warren,135125,Macomb County,MI,Michigan,"Detroit-Dearborn-Livonia, MI Metropolitan Division",1.3,Detroit Metropolitan Wayne County Airport,37 min,0
Midland,134610,Midland County,TX,Texas,"Midland, TX",1.3,Midland International Air & Space Port,17 min,5.2
Waco,134432,McLennan County,TX,Texas,"Waco, TX",1.3,Waco Regional Airport,15 min,6
Charleston,134385,Charleston County,SC,South Carolina,"Charleston-North Charleston, SC",1.3,Charleston International Airport,22 min,3.2
Columbia,134309,Richland County,SC,South Carolina,"Columbia, SC",1.3,Gilbert International Airport,33 min,0
Denton,133808,Denton County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.3,Dallas/Fort Worth International Airport,35 min,0
Carrollton,133351,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.3,Dallas/Fort Worth International Airport,18 min,4.8
Surprise,132677,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",1.3,Phoenix Sky Harbor International Airport,40 min,0
Roseville,132671,Placer County,CA,California,"Sacramento--Roseville--Arden-Arcade, CA",1.3,Sacramento International Airport,27 min,1.2
Sterling Heights,132427,Macomb County,MI,Michigan,"Detroit-Dearborn-Livonia, MI Metropolitan Division",1.3,Detroit Metropolitan Wayne County Airport,43 min,0
Murfreesboro,131947,Rutherford County,TN,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",1.3,Nashville International Airport,35 min,0
Gainesville,131591,Alachua County,FL,Florida,"Gainesville, FL",1.3,Gainesville Regional Airport,9 min,8.4
Cedar Rapids,131127,Linn County,IA,Iowa,"Cedar Rapids, IA",1.3,The Eastern Iowa Airport,14 min,6.4
Visalia,131074,Tulare County,CA,California,"Visalia-Porterville, CA",1.3,Fresno Yosemite International Airport,48 min,0
Coral Springs,130059,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.3,Fort Lauderdale-Hollywood International Airport,29 min,0.4
