City,Population,County,State,FullState,MSA,Population Score
Frisco,163656,Collin County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.6
Cary,162320,Wake County,NC,North Carolina,"Raleigh, NC",1.6
Lancaster,160106,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.6
Hayward,158937,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.6
Palmdale,157356,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.5
Salinas,157218,Monterey County,CA,California,"Salinas, CA",1.5
Alexandria,155810,Arlington County,VA,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",1.5
Lakewood,154393,Jefferson County,CO,Colorado,"Denver-Aurora-Lakewood, CO",1.5
Springfield,154074,Hampden County,MA,Massachusetts,"Springfield, MA-CT",1.5
Pasadena,153351,Harris County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",1.5
Sunnyvale,152771,Santa Clara County,CA,California,"San Jose-Sunnyvale-Santa Clara, CA",1.5
Macon,152555,Bibb County,GA,Georgia,"Macon, GA",1.5
Pomona,152494,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.5
Hollywood,151998,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.5
Kansas City,151709,Wyandotte County,KS,Kansas,"Kansas City, MO-KS",1.5
Escondido,151613,San Diego County,CA,California,"San Diego-Carlsbad, CA",1.5
Clarksville,150287,Montgomery County,TN,Tennessee,"Clarksville, TN-KY",1.5
Joliet,148262,Will County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",1.4
Rockford,147651,Winnebago County,IL,Illinois,"Rockford, IL",1.4
Torrance,147195,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.4
Naperville,147122,Dupage County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",1.4
Paterson,147000,Passaic County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",1.4
Savannah,146763,Chatham County,GA,Georgia,"Savannah, GA",1.4
Bridgeport,145936,Fairfield County,CT,Connecticut,"Bridgeport-Stamford-Norwalk, CT",1.4
Mesquite,143736,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.4
Killeen,143400,Bell County,TX,Texas,"Killeen-Temple, TX",1.4
Syracuse,143378,Onondaga County,NY,New York,"Syracuse, NY",1.4
McAllen,142212,Hidalgo County,TX,Texas,"McAllen-Edinburg-Mission, TX",1.4
Pasadena,142059,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.4
Bellevue,141400,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",1.4
Fullerton,140721,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.4
Orange,140504,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.4
Dayton,140489,Greene County,OH,Ohio,"Dayton, OH",1.4
Miramar,138449,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.4
Thornton,136703,Adams County,CO,Colorado,"Denver-Aurora-Lakewood, CO",1.3
West Valley City,136574,Salt Lake County,UT,Utah,"Salt Lake City, UT",1.3
Olathe,135473,Johnson County,KS,Kansas,"Kansas City, MO-KS",1.3
Hampton,135410,Hampton city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",1.3
Warren,135125,Macomb County,MI,Michigan,"Detroit-Dearborn-Livonia, MI Metropolitan Division",1.3
Midland,134610,Midland County,TX,Texas,"Midland, TX",1.3
Waco,134432,McLennan County,TX,Texas,"Waco, TX",1.3
Charleston,134385,Charleston County,SC,South Carolina,"Charleston-North Charleston, SC",1.3
Columbia,134309,Richland County,SC,South Carolina,"Columbia, SC",1.3
Denton,133808,Denton County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.3
Carrollton,133351,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.3
Surprise,132677,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",1.3
Roseville,132671,Placer County,CA,California,"Sacramento--Roseville--Arden-Arcade, CA",1.3
Sterling Heights,132427,Macomb County,MI,Michigan,"Detroit-Dearborn-Livonia, MI Metropolitan Division",1.3
Murfreesboro,131947,Rutherford County,TN,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",1.3
Gainesville,131591,Alachua County,FL,Florida,"Gainesville, FL",1.3
Cedar Rapids,131127,Linn County,IA,Iowa,"Cedar Rapids, IA",1.3
Visalia,131074,Tulare County,CA,California,"Visalia-Porterville, CA",1.3
Coral Springs,130059,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.3
New Haven,129934,New Haven County,CT,Connecticut,"New Haven, CT",1.3
Stamford,129113,Fairfield County,CT,Connecticut,"Bridgeport-Stamford-Norwalk, CT",1.3
Thousand Oaks,128888,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",1.3
Concord,128726,Contra Costa County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.3
Elizabeth,128640,Union County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",1.3
Lafayette,127626,Lafayette Parish,LA,Louisiana,"Lafayette, LA",1.2
Kent,127514,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",1.2
Topeka,126808,Shawnee County,KS,Kansas,"Topeka, KS",1.2
Simi Valley,126327,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",1.2
Santa Clara,125948,Santa Clara County,CA,California,"San Jose-Sunnyvale-Santa Clara, CA",1.2
Athens-Clarke County,123371,Clarke County,GA,Georgia,"Athens-Clarke County, GA",1.2
Hartford,123243,Hartford County,CT,Connecticut,"Hartford-West Hartford-East Hartford, CT",1.2
Victorville,122265,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.2
Abilene,122225,Taylor County,TX,Texas,"Abilene, TX",1.2
Norman,122180,Cleveland County,OK,Oklahoma,"Oklahoma City, OK",1.2
Vallejo,121299,Solano County,CA,California,"Vallejo-Fairfield, CA",1.2
Berkeley,121240,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.2
Round Rock,120892,Williamson County,TX,Texas,"Austin-Round Rock, TX",1.2
Ann Arbor,120782,Washtenaw County,MI,Michigan,"Ann Arbor, MI",1.2
Fargo,120762,Cass County,ND,North Dakota,"Fargo, ND-MN",1.2
Columbia,120612,Boone County,MO,Missouri,"Columbia, MO",1.2
Allentown,120443,Lehigh County,PA,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",1.2
Evansville,119477,Vanderburgh County,IN,Indiana,"Evansville, IN-KY",1.2
Beaumont,118299,Jefferson County,TX,Texas,"Beaumont-Port Arthur, TX",1.2
Odessa,117871,Ector County,TX,Texas,"Odessa, TX",1.1
Wilmington,117525,New Hanover County,NC,North Carolina,"Wilmington, NC",1.1
Arvada,117453,Jefferson County,CO,Colorado,"Denver-Aurora-Lakewood, CO",1.1
Independence,117030,Jackson County,MO,Missouri,"Kansas City, MO-KS",1.1
Provo,116868,Utah County,UT,Utah,"Provo-Orem, UT",1.1
Lansing,116020,Ingham County,MI,Michigan,"Lansing-East Lansing, MI",1.1
El Monte,115807,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.1
Springfield,115715,Sangamon County,IL,Illinois,"Springfield, IL",1.1
Fairfield,114756,Solano County,CA,California,"Vallejo-Fairfield, CA",1.1
Clearwater,114361,Pinellas County,FL,Florida,"Tampa-St. Petersburg-Clearwater, FL",1.1
Peoria,114265,Peoria County,IL,Illinois,"Peoria, IL",1.1
Rochester,114011,Olmsted County,MN,Minnesota,"Rochester, MN",1.1
Carlsbad,113952,San Diego County,CA,California,"San Diego-Carlsbad, CA",1.1
Westminster,113875,Adams County,CO,Colorado,"Denver-Aurora-Lakewood, CO",1.1
West Jordan,113699,Salt Lake County,UT,Utah,"Salt Lake City, UT",1.1
Pearland,113570,Brazoria County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",1.1
Richardson,113347,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.1
Downey,113267,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.1
Miami Gardens,113058,Miami-Dade County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.1
Temecula,113054,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.1
Costa Mesa,112822,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.1
College Station,112141,Brazos County,TX,Texas,"College Station-Bryan, TX",1.1
Elgin,112123,Kane County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",1.1
Murrieta,111674,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.1
Gresham,111523,Multnomah County,OR,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",1.1
High Point,111223,Guilford County,NC,North Carolina,"Greensboro-High Point, NC",1.1
Antioch,110898,Contra Costa County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.1
Inglewood,110654,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.1
Cambridge,110651,Middlesex County,MA,Massachusetts,"Boston-Cambridge-Newton, MA NECTA Division",1.1
Lowell,110558,Middlesex County,MA,Massachusetts,"Boston-Cambridge-Newton, MA NECTA Division",1.1
Manchester,110506,Hillsborough County,NH,New Hampshire,"Manchester, NH",1.1
Billings,110323,Yellowstone County,MT,Montana,"Billings, MT",1.1
Pueblo,110291,Pueblo County,CO,Colorado,"Pueblo, CO",1.1
Palm Bay,110104,Brevard County,FL,Florida,"Palm Bay-Melbourne-Titusville, FL",1.1
Centennial,109932,Arapahoe County,CO,Colorado,"Denver-Aurora-Lakewood, CO",1.1
Richmond,109813,Contra Costa County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.1
Ventura,109592,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",1.1
Pompano Beach,109393,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.1
North Charleston,109298,Charleston County,SC,South Carolina,"Charleston-North Charleston, SC",1.1
Everett,109043,Snohomish County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",1.1
Waterbury,108272,New Haven County,CT,Connecticut,"New Haven, CT",1.1
West Palm Beach,108161,Palm Beach County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.1
Boulder,108090,Boulder County,CO,Colorado,"Boulder, CO",1.1
West Covina,107847,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.1
Broken Arrow,107403,Tulsa County,OK,Oklahoma,"Tulsa, OK",1.0
Clovis,106583,Fresno County,CA,California,"Fresno, CA",1.0
Daly City,106472,San Mateo County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.0
Lakeland,106420,Polk County,FL,Florida,"Lakeland-Winter Haven, FL",1.0
Santa Maria,106290,Santa Barbara County,CA,California,"Santa Maria-Santa Barbara, CA",1.0
Norwalk,106178,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.0
Sandy Springs,105703,Fulton County,GA,Georgia,"Atlanta-Sandy Springs-Roswell, GA",1.0
Hillsboro,105164,Washington County,OR,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",1.0
Green Bay,105139,Brown County,WI,Wisconsin,"Green Bay, WI",1.0
Tyler,104798,Smith County,TX,Texas,"Tyler, TX",1.0
Wichita Falls,104724,Wichita County,TX,Texas,"Wichita Falls, TX",1.0
Lewisville,104659,Denton County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.0
Burbank,104447,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.0
Greeley,103990,Weld County,CO,Colorado,"Greeley, CO",1.0
San Mateo,103959,San Mateo County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.0
El Cajon,103768,San Diego County,CA,California,"San Diego-Carlsbad, CA",1.0
Jurupa Valley,103541,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.0
Rialto,103314,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.0
Davenport,102612,Scott County,IA,Iowa,"Davenport-Moline-Rock Island, IA-IL",1.0
League City,102010,Galveston County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",1.0
Davie,101871,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.0
Las Cruces,101759,Doña Ana County,NM,New Mexico,"Las Cruces, NM",1.0
South Bend,101735,St. Joseph County,IN,Indiana,"South Bend-Mishawaka, IN-MI",1.0
Vista,101659,San Diego County,CA,California,"San Diego-Carlsbad, CA",1.0
Renton,100953,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",1.0
San Angelo,100702,Tom Green County,TX,Texas,"San Angelo, TX",1.0
