City,Population,County,State,FullState,MSA,,
Bellevue,141400,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",,
Fullerton,140721,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Orange,140504,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Dayton,140489,Greene County,OH,Ohio,"Dayton, OH",,
Miramar,138449,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
Thornton,136703,Adams County,CO,Colorado,"Denver-Aurora-Lakewood, CO",,
West Valley City,136574,Salt Lake County,UT,Utah,"Salt Lake City, UT",,
Olathe,135473,Johnson County,KS,Kansas,"Kansas City, MO-KS",,
Hampton,135410,Hampton city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",,
Warren,135125,Macomb County,MI,Michigan,"Detroit-Dearborn-Livonia, MI Metropolitan Division",,
Midland,134610,Midland County,TX,Texas,"Midland, TX",,
Waco,134432,McLennan County,TX,Texas,"Waco, TX",,
Charleston,134385,Charleston County,SC,South Carolina,"Charleston-North Charleston, SC",,
Columbia,134309,Richland County,SC,South Carolina,"Columbia, SC",,
Denton,133808,Denton County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Carrollton,133351,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Surprise,132677,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",,
Roseville,132671,Placer County,CA,California,"Sacramento--Roseville--Arden-Arcade, CA",,
Sterling Heights,132427,Macomb County,MI,Michigan,"Detroit-Dearborn-Livonia, MI Metropolitan Division",,
Murfreesboro,131947,Rutherford County,TN,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",,
Gainesville,131591,Alachua County,FL,Florida,"Gainesville, FL",,
Cedar Rapids,131127,Linn County,IA,Iowa,"Cedar Rapids, IA",,
Visalia,131074,Tulare County,CA,California,"Visalia-Porterville, CA",,
Coral Springs,130059,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
New Haven,129934,New Haven County,CT,Connecticut,"New Haven, CT",,
